source,target,weight
0,11,0.647525
0,21,0.649737
0,24,0.640762
0,26,0.628845
0,28,0.638556
0,29,0.718364
0,30,0.665283
0,39,0.696698
0,53,0.708283
0,56,0.632377
0,57,0.677639
0,58,0.791678
0,59,0.63576
0,65,0.690149
0,68,0.653706
0,81,0.619968
0,93,0.651794
0,102,0.604052
0,111,0.606762
0,113,0.629288
0,115,0.739175
0,116,0.663414
0,119,0.760024
0,122,0.609907
0,125,0.618829
0,128,0.620728
0,129,0.645002
0,130,0.620248
0,137,0.628225
0,138,0.637352
0,140,0.701796
0,141,0.72407
0,143,0.639759
0,147,0.623382
0,149,0.608443
0,151,0.605127
0,156,0.610845
0,162,0.600882
0,163,0.611322
0,164,0.601102
0,169,0.622454
0,172,0.653813
0,173,0.63925
0,177,0.630758
0,178,0.624232
0,181,0.630238
0,187,0.670173
0,189,0.606035
0,190,0.741653
0,197,0.64791
0,202,0.680774
0,203,0.693118
0,214,0.644221
0,216,0.766669
0,218,0.686548
0,219,0.72644
0,221,0.605017
0,224,0.717445
0,226,0.7064
0,227,0.6133
0,230,0.602505
0,233,0.644866
0,234,0.660364
0,238,0.620278
0,251,0.620717
0,252,0.607928
0,253,0.671906
0,254,0.697091
0,256,0.655753
0,257,0.609692
0,262,0.70285
0,267,0.681321
0,271,0.617787
0,274,0.696249
0,278,0.60863
0,279,0.656058
0,298,0.664474
0,299,0.623695
0,307,0.679695
0,309,0.601098
0,310,0.638083
0,314,0.742622
0,317,0.774917
0,417,0.609904
0,419,0.612009
0,444,0.602918
0,462,0.60608
0,489,0.61151
0,558,0.60286
0,569,0.608552
0,649,0.613321
0,683,0.66242
0,794,0.602444
0,843,0.605149
0,892,0.610835
0,949,0.604653
0,962,0.606742
0,1063,0.605054
0,1124,0.619519
0,1155,0.63618
1,6,0.652525
1,7,0.618628
1,58,0.673416
1,62,0.603795
1,89,0.623752
1,93,0.607704
1,94,0.788128
1,119,0.617881
1,123,0.664616
1,129,0.602156
1,133,0.610503
1,147,0.609609
1,153,0.799083
1,155,0.778127
1,157,0.640543
1,173,0.732723
1,217,0.745225
1,229,0.611931
1,230,0.706181
1,240,1.0
1,267,0.617378
1,297,0.63017
1,303,0.778098
1,518,0.63849
1,806,0.650713
1,1019,0.6047
1,1116,0.613094
2,51,0.697861
2,74,0.606084
2,103,0.628058
2,149,0.612182
2,187,0.693568
2,201,0.822436
2,288,0.804351
2,307,0.638927
2,309,0.718773
2,313,0.820708
3,9,0.647336
3,21,0.74922
3,65,0.695382
3,75,0.621719
3,109,0.701592
3,113,0.674572
3,119,0.627467
3,135,0.651177
3,147,0.647378
3,151,0.711354
3,156,0.631015
3,159,0.710673
3,162,0.640159
3,166,0.68851
3,180,0.675114
3,220,0.720173
3,221,0.68473
3,235,0.639657
3,242,0.610289
3,246,0.771203
3,267,0.621177
3,271,0.653077
3,282,0.671115
3,287,0.98795
4,9,0.630175
4,11,0.614551
4,13,0.775436
4,21,0.673267
4,26,0.630305
4,58,0.625267
4,59,0.622615
4,65,0.635614
4,69,0.777779
4,113,0.627374
4,119,0.694016
4,122,0.625256
4,130,0.619269
4,138,0.603963
4,151,0.603473
4,156,0.656249
4,159,0.629865
4,162,0.6004
4,163,0.640022
4,164,0.646844
4,173,0.605399
4,178,0.603442
4,181,0.606413
4,182,0.620694
4,195,0.621511
4,199,0.6417
4,202,0.616866
4,216,0.60532
4,218,0.739117
4,219,0.62973
4,221,0.60198
4,224,0.619838
4,226,0.606897
4,234,0.642861
4,242,0.706262
4,246,0.664596
4,256,0.648591
4,262,0.609735
4,274,0.609928
4,281,0.66801
4,298,0.616547
4,307,0.609687
4,314,0.64288
4,315,0.611254
4,316,0.638444
4,317,0.703542
4,379,0.630022
4,415,0.610886
4,521,0.614596
4,590,0.616844
4,649,0.692362
4,683,0.648552
4,843,0.611527
